,y_hat
348,False
327,False
322,False
369,False
418,False
478,False
492,False
453,False
263,False
423,False
474,False
280,False
282,False
350,False
461,False
385,False
489,False
376,False
341,False
389,False
328,False
365,False
427,False
459,False
425,False
415,False
406,False
479,False
296,False
318,False
343,False
347,False
456,False
449,False
374,False
431,False
278,False
294,False
285,False
447,False
308,False
267,False
467,False
295,False
457,False
436,False
497,False
433,False
362,False
428,False
257,False
300,False
275,False
315,False
472,False
261,False
499,False
260,False
465,False
330,False
400,False
363,False
448,False
434,False
277,False
490,False
338,False
371,False
271,False
429,False
344,False
253,False
326,False
387,False
276,False
281,False
339,False
485,False
284,False
335,False
407,False
422,False
323,False
337,False
366,False
329,False
368,False
316,False
319,False
470,False
398,False
450,False
358,False
491,False
390,False
320,False
288,False
432,False
487,False
290,False
