,y_hat
3609,False
2131,False
2624,False
2138,False
2441,False
3941,False
3266,False
2101,False
2744,False
3696,False
2609,False
3402,False
2398,False
2696,False
3605,False
2844,False
2612,False
2579,False
2287,False
3731,False
3521,False
3073,False
3065,False
3331,False
2605,False
2627,False
2235,False
3438,False
3983,False
3577,False
3924,False
2533,False
3902,False
3889,False
3466,False
2762,False
2742,False
3634,False
3444,False
2585,False
3175,False
2413,False
3445,False
2734,False
3763,False
2203,False
2825,False
3476,False
3095,False
3872,False
3492,False
3981,False
3664,False
3358,False
3500,False
2165,False
3277,False
3913,False
3317,False
2363,False
3282,False
2841,False
3768,False
3223,False
2341,False
3440,False
2491,False
2871,False
3081,False
2190,False
3739,False
3845,False
3673,False
2206,False
3387,False
3504,False
3962,False
3116,False
3665,False
2494,False
3127,False
2127,False
3839,False
2011,False
3155,False
3827,False
2521,False
2932,False
2060,False
2135,False
3377,False
2837,False
2103,False
2144,False
3250,False
3375,False
2031,False
2659,False
2760,False
2663,False
3446,False
2344,False
2502,False
3042,False
3079,False
2984,False
2823,False
3201,False
3582,False
3600,False
2479,False
2513,False
2735,False
2927,False
3747,False
2898,False
3863,False
3743,False
3631,False
3911,False
2001,False
3603,False
2282,False
3580,False
2751,False
2580,False
3109,False
2067,False
3651,False
3420,False
2027,False
3393,False
2986,False
3638,False
2340,False
3192,False
3119,False
2245,False
3642,False
2475,False
2465,False
3320,False
3690,False
3671,False
3971,False
3022,False
3391,False
2126,False
3562,False
2873,False
3467,False
3299,False
2593,False
3018,False
3765,False
2607,False
3129,False
3006,False
2256,False
2591,False
2319,False
2561,False
3189,False
2852,False
3816,False
2914,False
2504,False
2968,False
3055,False
3356,False
3683,False
3972,False
3422,False
2435,False
2556,False
2851,False
3919,False
3545,False
2362,False
3349,False
2558,False
2557,False
2969,False
2831,False
2215,False
2570,False
3419,False
3194,False
3676,False
2717,False
3173,False
2462,False
3647,False
2300,False
3522,False
3874,False
2530,False
3417,False
2877,False
3576,False
